code,gu,dong,movingin,movingout,gas,disable,seniorcenter,bank,totalpopulation(2010),movingin ration,movingout ration,gasratio,older,orderratio,disableratio
중구을지로동,중구,을지로동,387,440,792,118,1,15,1426,0.271388499,0.3085554,0.555399719,448,0.314165498,0.082748948
중구소공동,중구,소공동,422,380,686,47,1,49,809,0.521631644,0.469715698,0.847960445,171,0.211372064,0.058096415
중구명동,중구,명동,572,603,956,142,1,79,2329,0.24559897,0.258909403,0.410476599,323,0.138686131,0.060970374
종로구종로1.2.3.4가동,종로구,종로1.2.3.4가동,1732,1677,3657,436,4,61,6421,0.269739916,0.261174272,0.569537455,757,0.117894409,0.067902196
중구광희동,중구,광희동,1002,1094,2292,272,3,18,5160,0.194186047,0.212015504,0.444186047,468,0.090697674,0.052713178
중구신당5동,중구,신당5동,2614,1636,3956,511,9,3,7343,0.355985292,0.222797222,0.538744382,665,0.09056244,0.069590086
용산구남영동,용산구,남영동,1675,1706,3173,571,7,10,6937,0.241458844,0.245927634,0.457402335,577,0.083177166,0.082312239
용산구이태원1동,용산구,이태원1동,1413,1552,4662,306,6,9,8243,0.171418173,0.188280966,0.565570787,660,0.080067936,0.037122407
용산구원효로1동,용산구,원효로1동,2479,2577,5437,463,6,3,10197,0.243110719,0.252721389,0.533196038,762,0.074727861,0.045405511
종로구종로5·6가동,종로구,종로5·6가동,1038,1055,2721,310,4,14,4848,0.214108911,0.217615512,0.561262376,331,0.068275578,0.063943894
종로구창신1동,종로구,창신1동,948,1202,2619,350,3,5,5959,0.159087095,0.201711697,0.439503272,376,0.063097835,0.058734687
종로구삼청동,종로구,삼청동,452,548,1465,134,2,3,2975,0.151932773,0.184201681,0.492436975,175,0.058823529,0.045042017
종로구숭인2동,종로구,숭인2동,1633,1708,4973,508,5,5,8791,0.185758162,0.194289614,0.565692185,501,0.056990104,0.057786372
중구신당6동,중구,신당6동,3385,1664,3917,448,6,2,9008,0.375777087,0.184724689,0.434835702,506,0.056172291,0.04973357
용산구이태원2동,용산구,이태원2동,1529,1788,6143,451,5,4,10534,0.145149041,0.169736093,0.583159294,583,0.055344598,0.042813746
중구신당1동,중구,신당1동,1279,1616,3783,427,3,7,7434,0.17204735,0.217379607,0.508878128,402,0.054075868,0.057438795
동대문구전농1동,동대문구,전농1동,3274,3783,10552,1579,7,3,24556,0.133327904,0.154056035,0.429711679,1290,0.052532986,0.064302004
강동구암사2동,강동구,암사2동,2695,2693,17561,496,11,3,15733,0.171296002,0.171168881,1.116188902,824,0.052373991,0.031526092
강동구성내1동,강동구,성내1동,2854,3292,6298,588,9,7,20102,0.141975923,0.1637648,0.313302159,1023,0.050890459,0.029250821
동대문구청량리동,동대문구,청량리동,2996,3143,9916,1423,12,7,23185,0.129221479,0.135561786,0.427690317,1177,0.050765581,0.06137589
종로구교남동,종로구,교남동,1326,2189,3498,426,2,2,7943,0.166939444,0.275588569,0.440387763,386,0.048596248,0.053632129
중구회현동,중구,회현동,1235,996,2721,391,3,25,4469,0.276348176,0.222868651,0.608861043,212,0.047437906,0.087491609
용산구원효로2동,용산구,원효로2동,2090,2274,5625,548,8,4,15138,0.138063152,0.150217994,0.371581451,705,0.046571542,0.036200291
동대문구제기동,동대문구,제기동,4192,4438,12497,1401,10,9,26358,0.159040898,0.168373928,0.474125503,1199,0.045489036,0.053152743
종로구사직동,종로구,사직동,1811,1979,5041,358,2,24,8961,0.20209798,0.220845888,0.562548823,378,0.042182792,0.039950898
종로구가회동,종로구,가회동,780,926,2328,204,4,6,4961,0.157226366,0.186655916,0.46926023,205,0.041322314,0.041120742
