code,gu,dong,older,disableratio,fireratio,bankratio,seniorcenterratio,movinginrartio,movingoutratio
종로구사직동,종로구,사직동,378,0.034170087,0.001527155,0.002290732,0.000190894,0.172854825,0.188889949
종로구삼청동,종로구,삼청동,175,0.038450502,0.002295552,0.000860832,0.000573888,0.129698709,0.157245337
종로구부암동,종로구,부암동,314,0.031974212,0.000958355,0.000174246,0.000348493,0.149329151,0.159174072
종로구평창동,종로구,평창동,486,0.03083367,0.001110214,0.000252321,0.000252321,0.127926928,0.135496568
종로구무악동,종로구,무악동,238,0.037915794,0.000465224,0.000116306,0.000465224,0.140265178,0.145847872
종로구교남동,종로구,교남동,386,0.05106689,0.000839127,0.000239751,0.000239751,0.158954687,0.262407097
종로구가회동,종로구,가회동,205,0.036956522,0.000181159,0.001086957,0.000724638,0.141304348,0.167753623
종로구종로1.2.3.4가동,종로구,종로1.2.3.4가동,757,0.048530721,0.006789849,0.006789849,0.000445236,0.192787177,0.186665183
종로구종로5·6가동,종로구,종로5·6가동,331,0.0481516,0.003883194,0.002174588,0.000621311,0.161230196,0.163870767
종로구이화동,종로구,이화동,286,0.036340721,0.001155341,0.000630186,0.000630186,0.171410566,0.197143157
종로구창신1동,종로구,창신1동,376,0.045638284,0.001695136,0.000651975,0.000391185,0.123614552,0.156734907
종로구창신2동,종로구,창신2동,394,0.049065421,0.000834446,0.000166889,0.000250334,0.096879172,0.130757677
종로구창신3동,종로구,창신3동,198,0.043048694,0.000352858,0,0.000470478,0.12020701,0.144554223
종로구숭인1동,종로구,숭인1동,255,0.040821633,0.000780031,0.000130005,0.00026001,0.151066043,0.177717109
종로구숭인2동,종로구,숭인2동,501,0.053138075,0.001150628,0.000523013,0.000523013,0.1708159,0.178661088
종로구청운효자동,종로구,청운효자동,455,0.041395624,0.000525659,0.000262829,0.000131415,0.147710099,0.160588738
종로구혜화동,종로구,혜화동,519,0.031767608,0.001409656,0.000302069,0.000251724,0.181291849,0.194532548
중구소공동,중구,소공동,171,0.026643991,0.009070295,0.027777778,0.000566893,0.239229025,0.215419501
중구회현동,중구,회현동,212,0.059413463,0.002735147,0.003798815,0.000455858,0.18766145,0.15134478
중구명동,중구,명동,323,0.034524678,0.007537078,0.019207391,0.000243132,0.139071238,0.146608315
중구필동,중구,필동,54,0.03928643,0.001403087,0.001603528,0.000200441,0.16937262,0.178993786
중구장충동,중구,장충동,190,0.036839554,0.001454193,0.000646308,0.000323154,0.186459848,0.192115043
중구광희동,중구,광희동,468,0.042105263,0.00247678,0.002786378,0.000464396,0.155108359,0.169349845
중구을지로동,중구,을지로동,448,0.056894889,0.012536162,0.007232401,0.00048216,0.18659595,0.212150434
중구신당1동,중구,신당1동,402,0.045790885,0.003002681,0.00075067,0.000321716,0.137158177,0.173297587
중구신당2동,중구,신당2동,210,0.043763807,0.000597051,0.00023882,0.00023882,0.152367306,0.169323542
중구신당3동,중구,신당3동,362,0.048630207,0.000458295,0.000152765,0.00030553,0.144872187,0.156125878
중구신당4동,중구,신당4동,478,0.042696629,0.000187266,6.2422E-05,0.00031211,0.139450687,0.151685393
중구신당5동,중구,신당5동,665,0.047788273,0.000467596,0.000280557,0.000841672,0.244458992,0.152997288
중구신당6동,중구,신당6동,506,0.03716917,0.000248901,0.000165934,0.000497801,0.280842944,0.138056915
중구황학동,중구,황학동,365,0.044843392,0.000611154,0.000458365,0.000305577,0.152941176,0.176546982
중구중림동,중구,중림동,244,0.050320716,0.000632397,0.000180685,0.00036137,0.21176258,0.365344656
용산구후암동,용산구,후암동,728,0.045755156,0.000244942,9.79768E-05,0.00029393,0.135354921,0.150492333
용산구용산2가동,용산구,용산2가동,476,0.042070963,0.000651702,0.000144823,0.000362056,0.109268646,0.138812455
용산구남영동,용산구,남영동,577,0.069523925,0.001461098,0.001217582,0.000852307,0.203944965,0.207719469
용산구원효로2동,용산구,원효로2동,705,0.034404822,0.00025113,0.00025113,0.00050226,0.13121547,0.142767454
용산구효창동,용산구,효창동,346,0.035723644,0.000436719,8.73439E-05,0.000436719,0.160887414,0.171805398
용산구용문동,용산구,용문동,371,0.036721012,0.000533293,0,0.000457108,0.142541521,0.175758037
용산구이촌1동,용산구,이촌1동,258,0.019433198,0.000176025,0.000598486,0.000316846,0.115437423,0.127935223
용산구이촌2동,용산구,이촌2동,297,0.039548568,0.00038584,0,0.000675219,0.093373203,0.116137745
용산구이태원1동,용산구,이태원1동,660,0.030658251,0.001402665,0.000901713,0.000601142,0.141568981,0.155495441
용산구이태원2동,용산구,이태원2동,583,0.037969355,0.000589325,0.000336757,0.000420946,0.128725375,0.150530392
용산구서빙고동,용산구,서빙고동,366,0.029192031,0.000415053,0.000138351,0.000345877,0.150802435,0.164014942
용산구보광동,용산구,보광동,327,0.039758183,0.000435706,0.000108927,0.000544633,0.140515222,0.160394314
용산구청파동,용산구,청파동,434,0.038667112,0.000459329,0.000167029,0.000250543,0.161683648,0.192041089
용산구원효로1동,용산구,원효로1동,762,0.036064808,0.0012463,0.000233681,0.000467363,0.193098613,0.200732201
용산구한강로동,용산구,한강로동,430,0.038796229,0.001269036,0.001571187,0.000543872,0.170534204,0.180686488
용산구한남동,용산구,한남동,614,0.031204786,0.00062566,0.000469245,0.000391037,0.149767333,0.16990576
